cluster,particle,theta_rad,z,theta_dot,z_dot
0,1,2.431651,1.500000,48.547107,0.000000
0,7,2.337675,1.500000,-13.115459,5.919820
0,15,2.182174,1.325394,-38.835142,-1.621323
0,16,2.212214,1.495640,11.951605,-0.872026
0,20,2.454678,1.493391,5.703402,-1.321825
0,23,2.340490,1.500000,4.302444,9.751293
0,24,2.459310,1.495156,17.622857,-0.968715
0,28,2.276996,1.500000,17.979714,0.000000
0,31,2.199755,1.494195,-14.093805,10.464438
0,32,1.689204,1.500000,-8.918864,0.000000
0,33,2.327058,1.410292,9.850740,12.743840
0,35,2.328012,1.418423,13.509322,-14.513212
0,36,1.855706,1.457547,0.322009,6.501232
0,44,2.358837,1.483524,14.134109,6.316459
0,46,2.342703,1.500000,28.703805,0.000000
0,48,2.526085,1.500000,-29.419426,0.000000
0,55,2.457118,1.470366,25.637242,-5.926828
0,57,2.176837,1.500000,-9.060134,0.000000
0,63,2.334329,1.500000,-18.905796,0.000000
0,64,2.319087,1.354558,3.183106,-13.395047
0,73,1.969826,1.500000,-27.988497,0.000000
0,77,2.277567,1.500000,-5.596666,0.000000
0,87,2.488707,1.500000,36.994755,0.000000
0,89,2.276141,1.500000,11.364332,0.000000
0,91,2.349134,1.319982,19.156739,-14.962604
0,99,2.319936,1.500000,29.795013,0.000000
0,100,1.882516,1.481917,25.610298,-3.616592
0,104,2.161848,1.500000,-10.410760,0.000000
0,113,2.273665,1.424194,22.538719,-15.161143
0,117,2.341325,1.500000,-27.199548,0.000000
0,118,2.222712,1.500000,-0.659051,0.000000
0,119,2.430068,1.500000,4.790494,6.882663
0,129,2.409905,1.423150,-18.160273,5.799598
0,136,2.243969,1.500000,-1.702940,0.000000
0,138,2.222426,1.461312,-41.717884,-5.329000
0,141,2.437287,1.500000,-14.679186,0.000000
0,148,2.341574,1.495783,6.948546,-0.843470
0,149,2.566764,1.500000,42.142374,0.000000
0,154,2.409719,1.462189,-14.595682,-4.226495
0,162,2.452670,1.319310,41.819327,-36.138020
0,163,2.218640,1.500000,-14.512572,0.000000
0,166,2.430926,1.500000,-33.868018,0.000000
0,172,2.272505,1.500000,26.391300,0.000000
0,173,1.959107,1.405216,-14.702120,-18.956818
0,174,1.862946,1.497896,-4.405010,3.339919
0,175,2.385695,1.500000,-33.568757,22.452273
0,179,2.683421,1.500000,-0.382622,0.000000
0,182,2.124622,1.403132,-39.104509,-6.074694
0,191,2.444860,1.500000,30.949729,0.000000
0,193,2.083776,1.500000,-3.119375,0.000000
0,195,2.394872,1.500000,-1.218331,1.530217
0,196,2.175496,1.434949,-4.553680,-6.883290
0,200,2.162892,1.500000,-28.164422,0.000000
0,201,2.205459,1.500000,-3.057066,0.000000
0,209,2.473188,1.500000,-2.730165,0.000000
0,214,2.421749,1.500000,26.880397,0.000000
0,220,1.941261,1.500000,-15.106212,0.241679
0,222,2.359190,1.469351,-5.973913,12.487800
0,223,2.237553,1.471975,20.416941,-5.605093
0,224,2.124773,1.500000,10.655142,0.000000
0,225,2.257175,1.500000,-8.108840,0.000000
0,228,2.386182,1.500000,-0.887454,2.050856
0,235,2.178051,1.500000,-16.342720,0.000000
0,236,2.519726,1.500000,15.813062,0.100412
0,239,2.373271,1.500000,14.763379,0.000000
0,242,2.211732,1.500000,-30.116953,0.000000
0,255,2.410419,1.500000,0.228307,0.000000
0,256,2.426860,1.366924,6.200334,-16.622884
0,257,2.161286,1.416356,18.690813,-16.728801
0,264,2.216842,1.500000,22.762263,5.251455
0,266,2.385390,1.500000,7.293385,0.000000
0,271,2.205207,1.500000,-8.053350,0.000000
0,274,2.336388,1.500000,2.700944,14.252724
0,276,2.073307,1.500000,-11.583079,0.000000
0,280,2.326019,1.500000,-38.995958,0.000000
0,285,2.218092,1.500000,-48.030741,0.000000
0,287,2.440996,1.495649,8.045187,17.845490
0,292,2.408418,1.304046,8.951153,-24.069829
0,295,2.484051,1.318631,9.526904,2.713598
0,302,2.545570,1.500000,-11.094475,0.000000
0,303,2.345268,1.429708,11.849402,-14.058382
0,305,2.351524,1.497278,-3.524050,-0.544334
0,317,2.023692,1.500000,10.147193,0.000000
0,320,2.487478,1.378483,-2.897964,-12.806927
0,323,2.333455,1.500000,27.666586,0.000000
0,324,2.734246,1.406962,7.823864,9.724029
0,328,2.205611,1.468112,-41.803968,-6.377536
0,330,2.306156,1.403655,-13.368722,-8.080535
0,331,2.251471,1.492373,2.671874,-1.525394
0,335,2.041708,1.493394,4.895339,6.726841
0,337,2.341340,1.500000,-7.253163,0.000000
0,339,2.424669,1.456520,0.375494,12.931209
0,342,2.106134,1.500000,8.123735,0.000000
0,345,1.953915,1.500000,13.785846,0.000000
0,350,2.297162,1.415641,11.382733,8.906138
0,355,2.055542,1.450017,0.992490,-9.996581
0,357,2.424205,1.500000,0.557993,7.197357
0,364,2.061857,1.500000,-17.438668,0.000000
0,367,2.148045,1.500000,-4.696586,0.000000
0,368,2.436160,1.500000,-22.564926,0.000000
0,372,2.166940,1.500000,-15.806743,0.000000
0,377,2.224348,1.500000,-27.196941,0.000000
0,379,2.550151,1.329106,-22.343341,2.648622
0,382,2.139625,1.399314,-10.493496,-10.846887
0,389,2.054900,1.417064,-13.004988,-2.268647
0,397,2.401549,1.500000,-25.160923,0.000000
0,399,1.905524,1.500000,-2.986897,2.655071
1,2,2.504754,-1.500000,-10.705413,0.000000
1,5,2.256378,-1.500000,-20.071855,0.000000
1,9,2.657839,-1.500000,32.191302,-23.105083
1,13,2.345146,-1.500000,17.499308,-2.954904
1,18,2.323011,-1.463408,19.732613,7.318450
1,25,2.324000,-1.316005,7.572113,20.559299
1,26,2.269017,-1.500000,-41.200274,0.000000
1,27,2.715565,-1.494428,-5.576596,-5.398771
1,29,2.601862,-1.467173,8.835333,-15.295583
1,30,2.450281,-1.500000,-3.224711,0.000000
1,37,2.539140,-1.474857,19.429064,0.078126
1,40,2.513739,-1.500000,13.252849,0.000000
1,47,2.462867,-1.500000,-7.112925,0.000000
1,50,2.469686,-1.443848,40.554999,11.230392
1,52,2.433421,-1.500000,3.596887,0.000000
1,53,2.610790,-1.500000,8.736592,0.000000
1,54,2.592243,-1.500000,35.896103,-1.796466
1,59,2.643138,-1.488461,21.794990,1.756978
1,60,2.474130,-1.447485,19.572997,-3.157414
1,66,2.267797,-1.500000,-12.926587,-7.574787
1,70,2.396855,-1.359330,0.220612,-3.034852
1,75,2.338913,-1.500000,-14.703884,0.000000
1,92,1.927914,-1.500000,10.708667,0.000000
1,93,2.480334,-1.500000,2.379661,0.000000
1,94,2.387204,-1.500000,-10.709470,0.000000
1,95,2.525661,-1.500000,10.833445,0.000000
1,98,2.734432,-1.500000,11.332502,0.000000
1,101,2.188088,-1.492165,-9.364004,-17.058276
1,105,2.324378,-1.500000,45.037020,-10.837583
1,109,2.475122,-1.415136,-28.617275,16.972730
1,115,2.527997,-1.500000,19.109199,0.000000
1,116,2.348875,-1.500000,22.659932,-10.077296
1,122,2.144938,-1.500000,-20.711911,-7.275364
1,123,2.333899,-1.500000,-43.471979,0.000000
1,124,2.621033,-1.500000,-14.439880,0.000000
1,130,2.130595,-1.500000,-17.096599,0.000000
1,133,2.193308,-1.500000,-18.772808,0.000000
1,134,2.408342,-1.443224,-23.901790,-13.957758
1,135,2.458948,-1.500000,27.479753,0.000000
1,139,2.672245,-1.500000,51.766852,0.000000
1,143,2.489852,-1.483669,-18.236019,-6.127845
1,153,2.417106,-1.500000,-23.879593,-23.791099
1,155,2.442516,-1.500000,-30.072141,0.000000
1,158,2.568502,-1.500000,-9.124050,0.000000
1,169,2.200452,-1.163076,-2.498149,8.287102
1,176,2.262857,-1.500000,10.902936,0.000000
1,183,2.556637,-1.500000,-27.123331,0.000000
1,187,2.246839,-1.497392,6.125990,0.521591
1,189,2.580102,-1.500000,17.161337,-3.468031
1,192,2.367806,-1.462531,-24.869371,-19.952890
1,199,2.635651,-1.500000,8.461428,0.000000
1,205,2.393934,-1.500000,-14.814640,0.000000
1,208,2.537066,-1.499243,-31.561770,0.151312
1,217,2.373954,-1.500000,11.713842,0.000000
1,218,2.429765,-1.500000,6.059774,0.000000
1,230,2.711837,-1.482234,9.825789,-10.010898
1,234,2.226693,-1.500000,-16.706664,0.000000
1,238,2.343721,-1.498170,-11.144288,-6.778010
1,240,2.511552,-1.500000,4.681988,0.000000
1,241,2.667365,-1.374246,-16.197430,1.241156
1,247,2.480645,-1.500000,-0.564041,0.000000
1,248,2.316637,-1.439950,7.777784,12.009922
1,251,2.641425,-1.364250,-12.064226,-10.446341
1,253,2.746667,-1.500000,-12.236015,0.000000
1,254,2.444145,-1.500000,-8.433468,0.000000
1,263,2.346378,-1.500000,-15.506992,0.000000
1,265,2.350121,-1.500000,-49.730926,-0.689682
1,268,2.475644,-1.500000,-2.709482,-4.041228
1,269,2.216234,-1.374044,12.099199,7.936537
1,270,2.505972,-1.500000,-23.755300,0.000000
1,272,2.471334,-1.462400,28.824614,5.917632
1,275,2.457979,-1.500000,15.989146,0.000000
1,278,2.357303,-1.479480,1.402800,4.104013
1,281,2.725148,-1.500000,6.712530,0.000000
1,289,2.763925,-1.476233,12.335400,-4.101867
1,294,2.421120,-1.494479,14.725322,1.104215
1,298,2.209529,-1.125300,-1.386140,7.530951
1,299,2.461019,-1.500000,22.425946,0.000000
1,300,2.531152,-1.500000,16.104179,0.000000
1,304,2.518356,-1.500000,-19.996863,-4.864236
1,315,2.653917,-1.500000,17.500148,0.000000
1,325,2.383804,-1.500000,-5.231068,0.000000
1,329,2.438025,-1.500000,-0.595813,-12.130874
1,347,2.297331,-1.500000,3.019304,0.000000
1,361,2.681125,-1.500000,-0.506968,0.000000
1,371,2.485474,-1.500000,-18.360353,0.000000
1,378,2.291836,-1.500000,21.021926,0.000000
1,384,2.415241,-1.500000,-25.398808,0.000000
1,390,2.663701,-0.758999,31.011729,30.539106
1,391,2.383351,-1.500000,-1.135821,0.000000
1,392,2.678989,-1.439029,33.070861,12.194177
1,394,2.392958,-1.471325,-9.393995,-8.370960
2,0,4.786555,-1.294519,10.458146,-4.439852
2,8,5.483960,-1.500000,29.357428,0.000000
2,10,5.621229,-1.500000,7.795059,0.000000
2,11,5.401537,-1.484868,-5.195341,-14.304506
2,12,5.451478,-1.500000,-33.572177,0.000000
2,14,5.423023,-1.438315,10.076020,3.881743
2,17,5.062907,-1.471205,-7.765204,5.758963
2,21,5.685238,-1.436962,-6.379649,12.607541
2,45,5.277335,-1.438099,6.749372,-16.394945
2,49,5.398502,-1.341576,20.520463,17.991568
2,58,5.354317,-1.500000,-7.746518,-4.612615
2,61,5.585640,-1.500000,0.702664,0.000000
2,67,5.568575,-1.428433,-19.861369,3.560569
2,69,5.627022,-1.500000,-32.941064,-10.683502
2,72,5.702904,-1.500000,40.761924,0.000000
2,74,5.461926,-1.499611,-26.005283,-2.466143
2,76,5.334761,-1.500000,6.574685,-15.549588
2,79,5.031678,-1.480163,13.357006,3.967353
2,84,5.408364,-1.500000,-20.994821,0.000000
2,85,5.481315,-1.491529,5.762030,1.694128
2,86,5.754028,-1.500000,1.090335,-14.213694
2,88,5.449540,-1.500000,21.523669,-0.522952
2,90,5.370882,-1.172628,19.761010,-1.928045
2,96,5.671197,-1.500000,-7.581124,0.000000
2,97,5.135084,-1.415299,-11.058563,8.755328
2,103,5.231718,-1.500000,9.407450,0.000000
2,106,5.311990,-1.500000,-10.708901,0.000000
2,107,5.557860,-1.500000,6.818957,0.000000
2,111,5.696151,-1.500000,0.659069,0.000000
2,112,5.545381,-1.440343,8.717393,11.931428
2,114,5.383054,-1.433220,-3.305305,2.354801
2,127,5.470949,-1.500000,30.353368,0.000000
2,137,5.239938,-1.424834,-33.231245,15.033221
2,140,5.197395,-1.430335,7.574103,-5.515978
2,142,5.341289,-1.500000,13.800932,0.000000
2,146,5.591167,-1.381835,-16.938420,-4.344024
2,147,5.578788,-1.458877,7.938892,-21.721526
2,150,5.147511,-1.500000,15.688377,0.000000
2,152,5.571746,-1.470062,-4.542313,-8.552988
2,156,5.463762,-1.500000,-18.219349,0.000000
2,160,5.632165,-1.500000,16.199875,0.000000
2,161,5.414973,-1.500000,21.657088,0.000000
2,164,4.858636,-1.450236,-1.588906,9.952832
2,167,5.400232,-1.366401,9.359057,26.719702
2,171,5.344774,-1.488277,16.901034,2.344546
2,177,5.597506,-1.500000,8.447426,0.000000
2,180,4.634198,-1.425587,-38.506669,14.882650
2,184,5.542149,-1.500000,-15.319777,0.000000
