time,L_total,omega_total,L_cluster0,omega_cluster0,L_cluster1,omega_cluster1,L_cluster2,omega_cluster2,L_cluster3,omega_cluster3,L_cluster4,omega_cluster4,L_cluster5,omega_cluster5
38.3500,558.288857,1.395722,186.046619,1.755157,112.737966,1.199340,35.961191,0.386679,153.691930,1.688922,0.000000,0.000000,0.000000,0.000000
38.3750,448.907984,1.122270,184.058125,1.736397,134.344145,1.414149,-16.081433,-0.172919,176.951194,1.944519,0.000000,0.000000,0.000000,0.000000
38.4000,265.906181,0.664765,39.031172,0.371725,-38.445563,-0.404690,238.168674,2.560953,-6.280710,-0.069019,0.000000,0.000000,0.000000,0.000000
38.4250,-103.632488,-0.259081,22.377709,0.211110,-54.696516,-0.601061,57.332569,0.616479,-131.382424,-1.443763,0.000000,0.000000,0.000000,0.000000
38.4500,-45.918653,-0.114797,-5.215985,-0.049676,-147.346752,-1.601595,143.999511,1.548382,-35.531767,-0.390459,0.000000,0.000000,0.000000,0.000000
38.4750,9.877671,0.024694,-188.532694,-1.778610,48.199468,0.507363,98.359309,1.057627,-0.784478,-0.008621,0.000000,0.000000,0.000000,0.000000
38.5000,-151.673240,-0.379183,-20.047923,-0.189131,-103.557176,-1.101672,10.475470,0.112639,8.834833,0.098165,0.000000,0.000000,0.000000,0.000000
38.5250,195.690903,0.489227,148.820000,1.390841,-34.871847,-0.363248,-21.123956,-0.227139,157.854690,1.734667,0.000000,0.000000,0.000000,0.000000
38.5500,198.201478,0.495504,-217.687247,-2.073212,127.215299,1.353354,262.771216,2.825497,35.588869,0.391086,0.000000,0.000000,0.000000,0.000000
38.5750,-473.672090,-1.184180,-459.254096,-4.373849,121.805387,1.282162,-37.377044,-0.401904,-76.099234,-0.836255,0.000000,0.000000,0.000000,0.000000
38.6000,-438.398446,-1.095996,-156.378486,-1.489319,38.681242,0.407171,-76.663884,-0.833303,-229.765388,-2.524894,0.000000,0.000000,0.000000,0.000000
38.6250,107.654414,0.269136,-47.412039,-0.451543,-77.655021,-0.844076,430.840279,4.632691,-107.047634,-1.189418,0.000000,0.000000,0.000000,0.000000
38.6500,-231.477608,-0.578694,-104.001077,-0.990486,204.190369,2.126983,-71.499340,-0.768810,-305.952560,-3.399473,0.000000,0.000000,0.000000,0.000000
38.6750,104.078450,0.260196,185.435529,1.733042,79.067482,0.832289,-24.179348,-0.262819,-91.448211,-1.004925,0.000000,0.000000,0.000000,0.000000
38.7000,394.502169,0.986255,86.324131,0.806768,-120.157771,-1.251643,335.132349,3.642743,156.679225,1.721750,0.000000,0.000000,0.000000,0.000000
38.7250,263.789350,0.659473,225.193901,2.104616,-354.036006,-3.687875,93.082713,1.011769,277.962187,3.021328,0.000000,0.000000,0.000000,0.000000
38.7500,4.320153,0.010800,71.299897,0.672641,190.326288,1.962127,-136.369151,-1.466335,-93.737035,-1.018881,0.000000,0.000000,0.000000,0.000000
38.7750,-2.583279,-0.006458,155.198713,1.450455,-103.942789,-1.071575,-106.871948,-1.161652,61.318791,0.673833,0.000000,0.000000,0.000000,0.000000
38.8000,133.772623,0.334432,-66.551911,-0.621980,-236.727878,-2.465915,-15.017484,-0.163234,368.898728,4.053832,0.000000,0.000000,0.000000,0.000000
38.8250,-76.525387,-0.191313,87.542994,0.818159,-1.749659,-0.018226,-74.918498,-0.814332,-10.836364,-0.117787,0.000000,0.000000,0.000000,0.000000
38.8500,260.278595,0.650696,-129.966558,-1.214641,-49.867249,-0.514095,127.803348,1.389167,226.298132,2.459762,0.000000,0.000000,0.000000,0.000000
38.8750,505.614993,1.264037,-7.307895,-0.068298,43.708847,0.450607,87.791993,0.954261,332.547784,3.614650,0.000000,0.000000,0.000000,0.000000
38.9000,129.242981,0.323107,76.897454,0.725448,108.284578,1.116336,-0.291414,-0.003202,-2.517512,-0.027364,0.000000,0.000000,0.000000,0.000000
38.9250,2.646111,0.006615,-230.433720,-2.173903,222.802944,2.296938,-23.256342,-0.252786,-94.527856,-1.038768,0.000000,0.000000,0.000000,0.000000
38.9500,162.521896,0.406305,-186.978261,-1.763946,-21.761385,-0.222055,195.544780,2.125487,195.347680,2.123344,0.000000,0.000000,0.000000,0.000000
38.9750,-260.944315,-0.652361,35.541558,0.332164,-13.806306,-0.142333,-91.527842,-0.994868,-171.514950,-1.884780,0.000000,0.000000,0.000000,0.000000
39.0000,-168.089557,-0.420224,61.586930,0.581009,-5.715560,-0.062126,-175.184075,-1.806021,-9.439427,-0.103730,0.000000,0.000000,0.000000,0.000000
