cluster,particle,x,y,z,vx,vy,vz
0,3,0.241870,0.193416,0.950836,13.076815,-18.207895,1.706303
0,8,-0.375992,0.068410,0.924094,-2.515743,-12.602724,0.356527
0,11,0.132303,0.364004,0.921953,8.716802,4.726013,-2.828515
0,12,-0.556806,-0.130360,0.820350,-1.747383,5.155362,-0.276264
0,15,0.104310,0.226676,0.968368,22.385443,-25.668028,6.707862
0,16,-0.062119,0.074783,0.995263,4.956431,-24.800397,3.816073
0,19,0.124207,0.223412,0.966778,-2.577091,-10.569094,3.104456
0,20,0.093335,0.185772,0.978150,-18.408765,-5.985070,3.889618
0,21,-0.775435,-0.303363,0.553779,-0.183238,19.829146,13.163365
0,22,-0.026531,0.119929,0.992428,4.697414,13.435707,-0.985284
0,24,-0.716584,-0.410216,0.564119,-15.011679,-2.852915,-18.579005
0,25,-0.329867,-0.151472,0.931796,14.636906,9.653478,7.736320
0,32,0.038350,0.177810,0.983317,-18.564197,0.655661,1.488373
0,36,-0.591831,-0.317460,0.740915,2.867315,-8.542755,-1.091942
0,39,0.009228,0.112955,0.993557,-5.449366,-26.799004,5.043157
0,40,-0.780902,-0.375781,0.498980,6.452745,-11.338545,2.442098
0,42,-0.757241,-0.291103,0.584675,-18.634212,16.554230,-12.560792
0,44,0.192071,0.180633,0.964614,-16.513486,20.405510,1.256971
0,45,-0.892067,-0.391812,0.225164,-4.565844,-15.391141,-31.201095
0,46,0.454482,0.290604,0.842019,-2.668466,-1.188390,1.886358
0,54,-0.385260,-0.123594,0.914494,-9.228800,-23.800080,-5.247878
0,55,0.146352,0.360459,0.921222,1.232216,1.065708,-0.604558
0,57,0.256120,0.306442,0.916786,21.366412,-23.649616,4.768032
0,58,-0.514321,-0.044905,0.856421,-2.113627,9.442642,-0.500178
0,60,0.513390,0.718479,0.469275,-4.053810,19.043759,-20.469974
0,61,-0.194386,0.201524,0.960001,-9.393983,19.409082,-4.707944
0,62,0.190041,0.401590,0.895885,-19.342486,7.265732,2.049177
0,65,0.241073,0.233547,0.941987,5.882399,-6.706115,0.368772
0,67,-0.526150,-0.199620,0.826630,28.155884,-15.160774,18.373783
0,68,0.410480,0.442448,0.797337,4.217406,-26.739989,15.741685
0,71,-0.724851,-0.446760,0.524402,11.873640,7.380712,27.144768
0,72,0.066084,0.212384,0.974949,11.811286,11.921232,-2.657278
0,73,-0.571160,-0.182360,0.800325,-24.422380,10.448716,-12.366555
0,74,-0.193284,0.042676,0.980214,0.483819,9.435383,-0.087718
0,78,-0.230930,0.016523,0.972830,-14.891530,7.671416,-2.922188
0,80,0.211582,0.418702,0.883132,-15.501379,8.663535,0.499781
0,81,0.163370,0.200124,0.966054,34.360174,-16.784271,1.456082
0,82,-0.567784,-0.245966,0.785571,-25.432990,0.254108,-15.481133
0,84,-0.346922,-0.161670,0.923855,-10.828667,8.137357,-2.133521
0,86,0.170020,0.449395,0.877005,-23.009388,15.688969,-1.362481
0,88,0.196832,0.431011,0.880617,-23.294552,-4.529793,9.266296
0,89,-0.676987,-0.456562,0.577270,-9.349858,20.080611,7.270584
0,90,-0.198192,0.101225,0.974922,-12.875172,17.760440,-3.201220
0,91,0.236248,0.329225,0.914220,7.892654,-10.524792,2.237509
0,96,-0.093116,0.121512,0.988213,15.770590,9.772777,1.158539
0,99,0.394353,0.369585,0.841364,49.817687,14.250859,-20.395978
0,100,0.100765,0.198884,0.974829,29.206069,9.249189,-2.483190
0,102,0.183184,0.320338,0.929423,14.580236,25.272484,-9.072948
0,103,-0.504631,-0.216950,0.835631,19.156281,1.319706,13.564497
0,104,-0.476669,-0.205236,0.854789,-20.142463,-11.311147,-11.968433
0,107,0.059782,0.109956,0.992137,-14.834383,-15.537965,3.815426
0,108,-0.038176,0.166438,0.985313,10.379286,9.340648,-0.679782
0,110,0.218743,0.267539,0.938389,-7.893259,-18.762505,8.484874
0,111,0.047183,0.259691,0.964538,-3.352562,13.036179,-2.855106
0,112,-0.596867,-0.049468,0.800814,-1.148187,36.605755,5.693945
0,114,-0.266527,-0.134925,0.954337,12.838245,-24.843889,2.133583
0,117,0.233720,0.234186,0.943680,16.124270,-16.040289,1.362414
0,118,-0.146631,0.336506,0.930195,-37.511921,37.616259,-11.576249
0,122,0.184754,0.288619,0.939449,50.743309,-19.432974,3.888220
0,126,-0.034481,0.297178,0.954199,-30.198786,16.411214,-3.082530
0,127,-0.726469,-0.305501,0.615559,-2.638043,10.958123,2.874658
0,129,-0.185253,0.044159,0.981698,-2.960054,-9.357321,0.107653
0,131,0.136244,0.241431,0.960806,-17.340764,-12.533746,6.924358
0,132,0.176032,0.152371,0.972520,-3.746882,-13.408462,3.305340
0,136,0.044772,0.121280,0.991608,15.791748,-20.690771,3.557561
0,141,-0.278810,0.119844,0.952839,-3.485383,28.534037,-2.425231
0,143,-0.599167,-0.347193,0.721426,12.430100,-18.414395,3.207642
0,144,-0.183761,-0.021292,0.982740,29.872764,-39.731279,11.337938
0,146,-0.561484,-0.184038,0.806762,0.892069,-6.163165,-0.663544
0,150,0.122208,0.506776,0.853372,-12.338694,-0.234761,2.369000
0,151,-0.408106,-0.169335,0.897093,17.940852,-24.407289,6.219462
