particle,theta_rad,phi_rad,theta_deg,phi_deg,theta_dot,phi_dot,ring
0,3.277121,3.048210,187.77,174.65,-14.899150,13.196083,1
1,6.263682,4.369989,358.88,250.38,-21.221934,-18.724497,1
2,6.156984,3.903451,352.77,223.65,4.247499,33.559007,1
3,3.066110,4.586067,175.68,262.76,-1.731869,51.197061,1
4,0.093061,0.388756,5.33,22.27,8.741712,29.315352,0
5,0.256188,3.738429,14.68,214.20,41.403585,77.369671,1
6,5.965194,0.411559,341.78,23.58,4.242926,11.471751,0
7,6.159838,0.367632,352.93,21.06,-17.563122,11.783226,0
8,3.188830,0.324817,182.71,18.61,1.957528,-33.690067,0
9,0.114021,3.263797,6.53,187.00,15.032623,-61.086879,1
10,3.098098,1.491300,177.51,85.45,-17.297501,-46.081304,0
11,4.517607,5.931383,258.84,339.84,1.810381,-21.059233,0
12,3.191681,0.188333,182.87,10.79,-0.640356,53.850380,0
13,6.250146,0.828798,358.11,47.49,2.685678,-80.284504,0
14,3.043088,4.155858,174.36,238.11,15.574487,43.919407,1
15,6.139571,4.112303,351.77,235.62,2.062648,-9.315012,1
16,3.294509,6.074226,188.76,348.03,6.321000,-10.759173,0
17,3.323983,3.295244,190.45,188.80,-18.986629,26.188444,1
18,0.175103,0.291968,10.03,16.73,12.222593,29.929272,0
19,3.187538,6.062042,182.63,347.33,-8.006413,-70.359394,0
20,6.167890,3.518602,353.39,201.60,-20.762409,-16.608645,1
21,0.094685,3.964216,5.43,227.13,-18.411919,37.896778,1
22,3.099166,0.566023,177.57,32.43,3.807631,-6.184746,0
23,6.243167,0.021904,357.71,1.25,13.959265,-0.488415,0
24,0.029479,3.396444,1.69,194.60,3.153483,25.004130,1
25,3.249155,0.212918,186.16,12.20,-0.693955,40.537925,0
26,6.230861,3.792311,357.00,217.28,-19.051148,-34.254068,1
27,2.945011,0.468652,168.74,26.85,-5.943475,7.440959,0
28,6.111877,0.891079,350.18,51.06,-2.305797,-84.259578,0
29,6.165669,4.397762,353.27,251.97,-38.106763,-9.666022,1
30,0.183168,4.211438,10.49,241.30,7.301497,-32.328527,1
31,3.083065,3.230163,176.65,185.07,-12.444506,27.291725,1
32,6.270464,1.083307,359.27,62.07,-7.332131,18.469257,0
33,0.013617,0.214518,0.78,12.29,-1.155519,-9.204603,0
34,3.105084,4.702235,177.91,269.42,15.876011,3.189083,1
35,3.162801,3.272597,181.22,187.51,-0.452495,33.996010,1
36,6.000760,1.185494,343.82,67.92,4.830912,-29.896416,0
37,6.050948,0.912564,346.69,52.29,-1.596664,56.513673,0
38,3.185354,3.743295,182.51,214.48,27.315870,19.662559,1
39,6.052472,4.638615,346.78,265.77,-11.334635,-19.846025,-1
40,0.206763,4.370170,11.85,250.39,10.845564,62.518418,1
41,3.043823,5.039570,174.40,288.75,0.758389,23.432565,-1
42,3.218610,0.044415,184.41,2.54,4.927802,20.198208,0
43,2.801734,3.848276,160.53,220.49,18.540176,35.975716,1
44,3.380842,0.606202,193.71,34.73,-2.447652,2.859131,0
45,3.030471,3.226435,173.63,184.86,-24.261936,-12.750640,1
46,6.226603,0.191402,356.76,10.97,7.519013,-1.174352,0
47,6.181110,3.084451,354.15,176.73,-30.564682,-34.169987,1
48,0.137395,4.129155,7.87,236.58,35.498746,6.465412,1
49,3.046847,2.892081,174.57,165.70,-33.235205,-16.168976,1
50,3.273365,5.267489,187.55,301.80,-9.425977,12.979052,0
51,3.169756,0.173427,181.61,9.94,14.407600,30.350617,0
52,3.100036,4.853005,177.62,278.06,9.383813,10.845804,-1
53,0.201988,2.444203,11.57,140.04,6.432636,26.546528,1
54,3.282553,0.066167,188.08,3.79,6.858328,43.394756,0
55,6.186410,4.019312,354.46,230.29,5.064237,2.692833,1
56,6.122865,0.827501,350.81,47.41,-14.488595,-5.115058,0
57,6.151679,3.173786,352.47,181.84,-26.668395,-18.983354,1
58,3.116655,2.580495,178.57,147.85,-14.210536,-21.390019,1
59,3.366657,0.887831,192.90,50.87,10.012529,20.580631,0
60,3.454195,4.258985,197.91,244.02,-0.507037,27.281851,1
61,0.112589,3.834425,6.45,219.70,-5.310352,-2.977992,1
62,3.348775,5.988009,191.87,343.09,9.480379,-3.364550,0
63,0.054425,0.560898,3.12,32.14,25.485247,-19.499016,0
64,0.107496,0.460997,6.16,26.41,8.519955,-34.969314,0
65,3.180406,5.695151,182.22,326.31,-3.754909,-31.279093,0
66,0.003531,3.696716,0.20,211.81,-12.385455,12.957504,1
67,3.226794,3.109528,184.88,178.16,-19.570492,10.816148,1
68,3.209283,1.525887,183.88,87.43,27.460447,-4.935318,0
69,3.357546,3.014148,192.37,172.70,58.443880,-56.318664,1
70,0.082919,4.184858,4.75,239.77,25.958158,-6.140970,1
71,3.251862,0.702152,186.32,40.23,7.404090,-7.841823,0
72,3.215954,3.121931,184.26,178.87,-14.402804,16.127890,1
73,6.129602,3.605901,351.20,206.60,7.444156,17.907815,1
74,3.097189,4.066650,177.46,233.00,-7.839790,78.954900,1
75,6.217029,3.041361,356.21,174.26,34.414400,1.635064,1
76,2.888389,0.054690,165.49,3.13,-3.803301,-35.243331,0
77,6.071714,0.523847,347.88,30.01,4.867635,3.998130,0
78,3.085938,0.014037,176.81,0.80,-16.280488,19.879449,0
79,3.168454,3.345752,181.54,191.70,-13.588435,74.458601,1
80,2.974105,4.848880,170.40,277.82,0.016624,16.963255,-1
81,6.150765,6.083550,352.41,348.56,9.457016,-41.094178,0
82,6.242257,0.172993,357.65,9.91,-2.089203,-36.546882,0
83,3.166219,0.557329,181.41,31.93,-3.330824,35.982356,0
84,3.051763,3.813449,174.85,218.49,-46.271435,61.011208,1
85,3.391468,3.141732,194.32,180.01,28.524268,59.825458,1
86,0.117807,3.543857,6.75,203.05,-5.384540,11.782414,1
87,0.073913,0.899231,4.23,51.52,12.843644,4.594348,0
88,3.209521,6.053412,183.89,346.83,11.396183,49.794907,0
89,6.174815,3.332115,353.79,190.92,-9.697702,4.062147,1
90,3.007221,3.866032,172.30,221.51,-19.407280,-24.374652,1
91,6.234098,4.466830,357.19,255.93,-7.440936,17.755055,1
92,6.160785,0.039330,352.99,2.25,6.090099,6.026173,0
93,6.280258,3.613646,359.83,207.05,7.967809,78.425011,1
94,6.221681,5.587159,356.48,320.12,10.346279,-41.641087,0
95,6.277595,1.309642,359.68,75.04,5.423995,25.717192,0
96,3.230323,3.274323,185.08,187.60,-20.885781,-23.650287,1
97,3.132740,0.429377,179.49,24.60,10.562462,-15.249591,0
98,0.225791,3.834042,12.94,219.67,-10.356035,-16.342629,1
99,6.269345,0.211659,359.21,12.13,-1.336392,-9.317285,0
100,0.014269,0.436725,0.82,25.02,10.610125,69.265591,0
101,0.043962,0.200863,2.52,11.51,2.157609,-11.864244,0
102,3.112352,0.182670,178.32,10.47,-1.537572,47.758313,0
103,3.311379,0.950096,189.73,54.44,6.242119,-37.975253,0
104,6.134209,3.231635,351.46,185.16,15.631024,46.472484,1
