time,L_theta_total,L_phi_total,mean_theta_dot,mean_phi_dot,L_theta_ring0,omega_theta_ring0,L_theta_ring1,omega_theta_ring1,L_theta_ring2,omega_theta_ring2,L_theta_ring3,omega_theta_ring3,rel_omega_theta,rel_omega_phi
47.7000,-85.351272,-237.237990,-0.398240,-2.372380,109.334438,0.843985,-26.700069,-0.449254,-338.205768,-1.657320,0.000000,0.000000,-1.293239,11.245034
47.7250,-204.791493,-229.280686,-0.402859,-2.292807,-187.890205,-0.862316,-66.505288,-0.044212,0.000000,0.000000,0.000000,0.000000,0.818104,-0.146219
47.7500,200.780228,76.697731,-0.162051,0.766977,-856.913929,-2.426182,1049.269333,2.075189,0.000000,0.000000,0.000000,0.000000,4.501371,-3.516383
47.7750,-157.417946,-128.683987,0.259333,-1.286840,50.332655,0.973821,-219.032913,-0.469173,0.000000,0.000000,0.000000,0.000000,-1.442994,0.763535
47.8000,-169.788500,37.105849,-0.452023,0.371058,-146.770695,-0.503568,19.985805,-0.364030,0.000000,0.000000,0.000000,0.000000,0.139539,4.342112
47.8250,-87.457272,178.633606,0.157555,1.786336,17.276644,0.191872,-441.507141,-4.445960,98.711810,0.850900,0.000000,0.000000,-4.637832,2.311918
47.8500,529.179765,137.892322,0.181500,1.378923,-4.270221,0.048637,-280.451105,-2.957935,362.223408,1.685506,0.000000,0.000000,-3.006571,3.649121
47.8750,432.572673,-14.891807,0.395685,-0.148918,-63.390458,-0.429113,291.016320,2.370939,2.609336,-0.142480,0.000000,0.000000,2.800053,-9.796322
47.9000,983.517914,-21.587859,0.945307,-0.215879,204.349032,1.256783,-212.631593,-1.868097,467.989938,1.830125,0.000000,0.000000,-3.124880,6.612287
47.9250,747.165765,74.696780,0.657590,0.746968,123.378857,0.235290,603.299415,1.056553,0.000000,0.000000,0.000000,0.000000,0.821263,0.555927
47.9500,252.580483,-52.276316,0.259320,-0.522763,108.826088,-0.051894,80.248522,0.263530,0.000000,0.000000,0.000000,0.000000,0.315424,3.453261
47.9750,-306.195436,110.822972,-0.139135,1.108230,-145.680913,-0.336867,-235.073914,-0.325340,0.000000,0.000000,0.000000,0.000000,0.011527,-5.355968
48.0000,-194.065452,244.582364,-0.088265,2.445824,-157.464367,-0.391265,-36.601086,0.194241,0.000000,0.000000,0.000000,0.000000,0.585506,-3.535836
48.0250,-101.243055,80.120283,0.063248,0.801203,130.820620,0.525194,-225.588624,-0.375650,0.000000,0.000000,0.000000,0.000000,-0.900844,-0.303053
48.0500,-282.985229,-1.494717,-0.167179,-0.014947,-304.517627,-0.716990,-67.350223,-0.095306,0.000000,0.000000,0.000000,0.000000,0.621685,-3.351206
48.0750,423.344499,80.503822,0.495793,0.805038,102.893476,0.192454,317.598250,0.778215,0.000000,0.000000,0.000000,0.000000,0.585761,-6.102304
48.1000,389.166853,-146.050828,0.388773,-1.460508,361.718172,1.015789,-70.454729,-0.307651,0.000000,0.000000,0.000000,0.000000,-1.323440,0.295018
48.1250,-645.466182,-63.881735,-0.906010,-0.638817,-287.915245,-0.989005,-451.470134,-1.000023,0.000000,0.000000,0.000000,0.000000,-0.011019,-3.867984
48.1500,-577.264275,-79.721988,-0.752603,-0.797220,-158.943979,-0.947954,-63.417813,-0.577676,-132.540692,-0.890090,0.000000,0.000000,0.370278,3.223222
48.1750,116.554051,-29.009146,0.204081,-0.290091,-40.084274,-0.501964,382.484723,3.145309,-251.363313,-1.703829,0.000000,0.000000,3.647274,-17.914514
48.2000,-317.803495,-4.397916,-0.384043,-0.043979,59.201879,-0.112216,-263.344390,-0.506556,0.000000,0.000000,0.000000,0.000000,-0.394340,1.679619
48.2250,-97.816033,-98.195419,-0.070363,-0.981954,-222.220856,-0.535817,124.404823,0.363611,0.000000,0.000000,0.000000,0.000000,0.899428,0.636522
48.2500,370.802528,-47.345634,0.323250,-0.473456,503.373207,1.534488,-220.358956,-0.926009,0.000000,0.000000,0.000000,0.000000,-2.460496,1.409496
